cluster,confidence,correlate,draft_report,elapsed_s,enrich,extract_indicators,finalize_and_persist,gather_context,model,reasoning_effort,repeat,risk_assessment,role,self_check,severity,status,triage
email,medium,2.4,11.2,27.7,0.0,1.9,0.0,0.4,gpt-oss:20b@low,low,0,2.2,needle,9.2,high,needs_human_review,true_positive
tp_chain,high,2.0,8.0,22.0,0.0,2.1,0.0,0.4,gpt-oss:20b@low,low,0,1.8,needle,7.2,high,needs_human_review,true_positive
email,medium,11.9,14.4,45.8,0.0,5.7,0.0,0.5,lfm2.5:8b-a1b-q4_K_M@default,default,0,4.2,benign,8.6,high,needs_human_review,uncertain
winlogon,medium,6.3,16.5,41.9,0.0,2.4,0.0,0.4,lfm2.5:8b-a1b-q4_K_M@default,default,0,4.0,benign,11.9,high,needs_human_review,true_positive
ssh,medium,6.9,16.1,48.5,0.0,3.6,0.0,0.4,lfm2.5:8b-a1b-q4_K_M@default,default,0,5.2,benign,15.9,high,needs_human_review,true_positive
winlogon,medium,10.5,14.3,46.1,0.0,1.8,0.0,0.4,lfm2.5:8b-a1b-q4_K_M@default,default,0,3.1,fp_control,15.5,high,needs_human_review,true_positive
powershell,medium,12.4,15.6,54.5,0.0,7.3,0.0,0.4,lfm2.5:8b-a1b-q4_K_M@default,default,0,4.1,benign,14.1,high,needs_human_review,true_positive
tp_chain,medium,2.7,11.7,37.4,0.0,3.9,0.0,0.4,lfm2.5:8b-a1b-q4_K_M@default,default,0,4.3,needle,13.9,high,needs_human_review,true_positive
powershell,medium,9.5,18.6,73.7,0.0,16.9,0.0,0.4,lfm2.5:8b-a1b-q4_K_M@default,default,0,5.5,needle,22.3,high,needs_human_review,true_positive
ssh,medium,7.3,14.7,48.4,0.0,3.3,0.0,0.4,lfm2.5:8b-a1b-q4_K_M@default,default,0,4.7,needle,17.5,high,needs_human_review,true_positive
winlogon,medium,10.3,14.0,45.6,0.0,2.1,0.0,0.4,lfm2.5:8b-a1b-q4_K_M@default,default,0,3.1,fp_control,15.3,high,needs_human_review,true_positive
email,medium,11.7,17.7,55.7,0.0,6.9,0.0,0.4,lfm2.5:8b-a1b-q4_K_M@default,default,0,3.4,needle,15.2,high,complete,true_positive
tp_chain,medium,5.2,12.1,39.9,0.0,8.5,0.0,0.4,lfm2.5:8b-a1b-q4_K_M@default,default,0,4.8,needle,8.4,high,needs_human_review,uncertain
email,medium,0.5,4.0,18.6,0.0,7.7,0.0,0.4,lfm2:24b-a2b@default,default,0,0.7,benign,4.9,high,needs_human_review,true_positive
winlogon,high,0.5,3.0,9.0,0.0,1.2,0.0,0.4,lfm2:24b-a2b@default,default,0,0.6,benign,2.8,low,needs_human_review,true_positive
ssh,high,0.5,3.0,9.1,0.0,1.0,0.0,0.4,lfm2:24b-a2b@default,default,0,0.6,benign,3.1,medium,needs_human_review,true_positive
winlogon,high,0.5,3.1,8.9,0.0,0.8,0.0,0.4,lfm2:24b-a2b@default,default,0,0.6,fp_control,3.0,medium,needs_human_review,true_positive
powershell,high,0.5,3.9,12.1,0.0,1.3,0.0,0.4,lfm2:24b-a2b@default,default,0,0.7,benign,4.8,high,needs_human_review,true_positive
tp_chain,high,0.5,3.3,10.6,0.0,1.3,0.0,0.4,lfm2:24b-a2b@default,default,0,0.6,needle,4.0,medium,needs_human_review,true_positive
powershell,high,0.5,4.4,13.2,0.0,2.2,0.0,0.4,lfm2:24b-a2b@default,default,0,1.0,needle,4.3,high,complete,true_positive
ssh,high,0.5,2.8,8.3,0.0,0.8,0.0,0.4,lfm2:24b-a2b@default,default,0,0.6,needle,2.6,medium,needs_human_review,true_positive
winlogon,high,0.3,2.6,7.8,0.0,0.7,0.0,0.4,lfm2:24b-a2b@default,default,0,0.5,fp_control,2.8,medium,needs_human_review,true_positive
email,high,0.5,4.0,12.7,0.0,2.3,0.0,0.4,lfm2:24b-a2b@default,default,0,0.6,needle,4.4,high,needs_human_review,true_positive
tp_chain,high,0.5,3.4,10.0,0.0,1.7,0.0,0.4,lfm2:24b-a2b@default,default,0,0.8,needle,2.7,high,complete,true_positive
email,medium,2.2,19.0,58.1,0.0,15.2,0.0,0.4,mistral-small3.2@default,default,0,3.9,benign,16.9,high,needs_human_review,uncertain
winlogon,high,2.0,15.5,39.1,0.0,2.4,0.0,0.4,mistral-small3.2@default,default,0,3.6,benign,14.7,medium,needs_human_review,uncertain
ssh,medium,2.0,18.7,43.7,0.0,2.1,0.0,0.4,mistral-small3.2@default,default,0,2.9,benign,17.0,high,needs_human_review,true_positive
winlogon,high,2.0,16.9,39.9,0.0,2.9,0.0,0.4,mistral-small3.2@default,default,0,3.5,fp_control,13.6,medium,needs_human_review,uncertain
powershell,high,2.7,15.9,42.6,0.0,5.4,0.0,0.4,mistral-small3.2@default,default,0,4.4,benign,13.2,medium,needs_human_review,uncertain
tp_chain,medium,3.2,17.9,48.6,0.0,3.7,0.0,0.4,mistral-small3.2@default,default,0,3.6,needle,19.3,medium,needs_human_review,uncertain
powershell,high,2.9,23.4,58.4,0.0,5.8,0.0,0.4,mistral-small3.2@default,default,0,5.1,needle,20.2,high,complete,true_positive
ssh,high,2.9,15.4,37.9,0.0,2.0,0.0,0.4,mistral-small3.2@default,default,0,4.1,needle,12.5,medium,needs_human_review,uncertain
winlogon,high,2.0,16.8,39.6,0.0,2.9,0.0,0.4,mistral-small3.2@default,default,0,3.5,fp_control,13.5,medium,needs_human_review,uncertain
email,medium,2.2,20.1,51.5,0.0,6.0,0.0,0.4,mistral-small3.2@default,default,0,4.0,needle,18.3,high,needs_human_review,uncertain
tp_chain,medium,1.8,18.2,47.6,0.0,4.7,0.0,0.4,mistral-small3.2@default,default,0,4.4,needle,17.7,high,needs_human_review,uncertain
email,medium,180.4,140.3,541.0,0.0,68.6,0.0,0.4,muse-glimmer:30b@default,default,0,51.1,benign,99.8,high,needs_human_review,uncertain
winlogon,low,170.7,162.3,567.9,0.0,60.8,0.0,0.4,muse-glimmer:30b@default,default,0,43.0,benign,130.1,high,needs_human_review,uncertain
ssh,medium,113.5,141.7,496.8,0.0,39.9,0.0,0.4,muse-glimmer:30b@default,default,0,33.5,benign,167.3,high,needs_human_review,uncertain
winlogon,low,202.6,115.3,616.8,0.0,63.5,0.0,0.4,muse-glimmer:30b@default,default,0,50.5,fp_control,184.1,medium,needs_human_review,uncertain
powershell,high,152.8,137.7,655.8,0.0,204.0,0.0,0.4,muse-glimmer:30b@default,default,0,40.5,benign,119.9,low,needs_human_review,false_positive
tp_chain,low,169.0,141.3,535.2,0.0,47.8,0.0,0.4,muse-glimmer:30b@default,default,0,53.6,needle,122.7,medium,needs_human_review,uncertain
powershell,high,173.5,169.7,624.5,0.0,61.4,0.0,0.4,muse-glimmer:30b@default,default,0,50.3,needle,168.6,critical,needs_human_review,true_positive
ssh,low,188.7,132.7,557.9,0.0,32.5,0.0,0.4,muse-glimmer:30b@default,default,0,42.2,needle,160.7,medium,needs_human_review,uncertain
winlogon,low,187.0,143.9,606.1,0.0,62.1,0.0,0.4,muse-glimmer:30b@default,default,0,50.1,fp_control,162.1,low,complete,uncertain
email,medium,148.4,159.2,524.2,0.0,63.2,0.0,0.4,muse-glimmer:30b@default,default,0,43.8,needle,108.6,high,needs_human_review,uncertain
tp_chain,medium,151.9,139.9,599.6,0.0,59.3,0.0,0.4,muse-glimmer:30b@default,default,0,43.0,needle,204.5,high,needs_human_review,uncertain
email,medium,22.5,35.5,128.3,0.0,21.0,0.0,0.4,muse-glimmer:30b@low,low,0,10.9,benign,37.4,high,needs_human_review,true_positive
winlogon,low,23.8,30.6,109.0,0.0,13.3,0.0,0.4,muse-glimmer:30b@low,low,0,13.6,benign,26.7,medium,needs_human_review,uncertain
ssh,medium,19.0,25.7,74.0,0.0,9.6,0.0,0.4,muse-glimmer:30b@low,low,0,11.4,benign,7.4,high,needs_human_review,true_positive
winlogon,medium,22.2,33.1,118.3,0.0,12.6,0.0,0.4,muse-glimmer:30b@low,low,0,13.8,fp_control,35.7,high,needs_human_review,uncertain
powershell,medium,26.4,31.5,108.3,0.0,16.0,0.0,0.4,muse-glimmer:30b@low,low,0,10.7,benign,22.8,low,complete,false_positive
tp_chain,low,35.2,36.1,133.4,0.0,11.5,0.0,0.4,muse-glimmer:30b@low,low,0,12.0,needle,37.7,medium,needs_human_review,uncertain
powershell,high,29.8,40.6,139.3,0.0,17.5,0.0,0.4,muse-glimmer:30b@low,low,0,12.1,needle,38.5,high,needs_human_review,true_positive
ssh,high,21.4,33.9,106.9,0.0,10.1,0.0,0.4,muse-glimmer:30b@low,low,0,11.5,needle,28.9,high,needs_human_review,true_positive
winlogon,medium,19.6,37.6,116.1,0.0,11.1,0.0,0.4,muse-glimmer:30b@low,low,0,13.1,fp_control,33.7,high,needs_human_review,uncertain
email,medium,20.6,26.7,113.4,0.0,13.0,0.0,0.4,muse-glimmer:30b@low,low,0,11.8,needle,40.4,high,needs_human_review,true_positive
tp_chain,medium,26.6,35.9,119.7,0.0,10.4,0.0,0.4,muse-glimmer:30b@low,low,0,12.3,needle,33.6,high,needs_human_review,uncertain
email,medium,7.6,20.2,61.4,0.0,4.6,0.0,0.4,nemotron-3-nano:4b@default,default,0,3.1,benign,25.0,high,needs_human_review,uncertain
winlogon,high,6.5,18.0,46.0,0.0,5.0,0.0,0.4,nemotron-3-nano:4b@default,default,0,4.7,benign,11.0,medium,needs_human_review,true_positive
ssh,high,3.9,21.0,60.6,0.0,3.4,0.0,0.4,nemotron-3-nano:4b@default,default,0,5.1,benign,26.3,high,needs_human_review,true_positive
winlogon,medium,4.0,17.7,39.0,0.0,4.0,0.0,0.4,nemotron-3-nano:4b@default,default,0,3.0,fp_control,9.4,high,needs_human_review,uncertain
powershell,high,2.7,20.7,60.3,0.0,5.7,0.0,0.4,nemotron-3-nano:4b@default,default,0,3.3,benign,27.1,medium,needs_human_review,true_positive
tp_chain,medium,7.6,12.1,41.9,0.0,4.4,0.0,0.4,nemotron-3-nano:4b@default,default,0,2.8,needle,14.0,low,needs_human_review,uncertain
powershell,high,3.1,20.5,64.1,0.0,8.1,0.0,0.4,nemotron-3-nano:4b@default,default,0,3.5,needle,27.9,critical,needs_human_review,true_positive
ssh,medium,4.2,15.4,50.8,0.0,3.7,0.0,0.4,nemotron-3-nano:4b@default,default,0,4.5,needle,22.0,high,needs_human_review,true_positive
winlogon,medium,4.0,17.7,41.6,0.0,6.7,0.0,0.4,nemotron-3-nano:4b@default,default,0,3.0,fp_control,9.4,high,needs_human_review,uncertain
email,medium,7.6,16.9,57.5,0.0,5.2,0.0,0.4,nemotron-3-nano:4b@default,default,0,2.9,needle,23.9,high,needs_human_review,uncertain
tp_chain,high,2.9,17.4,39.3,0.0,7.5,0.0,0.4,nemotron-3-nano:4b@default,default,0,2.2,needle,8.4,high,needs_human_review,true_positive
email,medium,313.9,126.2,810.6,0.0,84.2,0.0,0.4,qwen3.5:9b@low,low,0,49.6,benign,235.9,high,needs_human_review,uncertain
winlogon,medium,198.4,95.9,624.3,0.0,63.6,0.0,0.4,qwen3.5:9b@low,low,0,32.2,benign,233.2,high,needs_human_review,uncertain
ssh,medium,239.5,104.5,664.6,0.0,37.2,0.0,0.4,qwen3.5:9b@low,low,0,69.9,benign,212.5,high,needs_human_review,uncertain
winlogon,medium,223.2,105.3,576.1,0.0,109.8,0.0,0.4,qwen3.5:9b@low,low,0,35.8,fp_control,101.1,high,complete,uncertain
powershell,high,141.4,100.0,506.3,0.0,123.6,0.0,0.4,qwen3.5:9b@low,low,0,31.5,benign,108.8,low,needs_human_review,false_positive
tp_chain,medium,287.2,120.1,654.0,0.0,47.7,0.0,0.4,qwen3.5:9b@low,low,0,74.5,needle,123.5,medium,needs_human_review,uncertain
powershell,high,218.0,126.1,677.2,0.0,70.1,0.0,0.4,qwen3.5:9b@low,low,0,75.8,needle,186.1,critical,needs_human_review,true_positive
ssh,high,314.0,109.1,637.9,0.0,36.4,0.0,0.4,qwen3.5:9b@low,low,0,50.5,needle,127.0,medium,needs_human_review,uncertain
winlogon,medium,223.2,105.4,534.3,0.0,67.9,0.0,0.4,qwen3.5:9b@low,low,0,35.8,fp_control,101.1,high,complete,uncertain
email,medium,318.2,112.4,719.0,0.0,61.4,0.0,0.4,qwen3.5:9b@low,low,0,25.0,needle,201.1,high,needs_human_review,true_positive
tp_chain,high,228.2,98.9,683.0,0.0,107.8,0.0,0.4,qwen3.5:9b@low,low,0,46.9,needle,200.4,critical,needs_human_review,true_positive
email,medium,223.4,235.2,864.9,0.0,98.5,0.0,0.4,qwen3.6:27b@low,low,0,84.9,benign,221.9,medium,complete,uncertain
winlogon,medium,147.0,221.2,755.3,0.0,68.8,0.0,0.4,qwen3.6:27b@low,low,0,68.4,benign,248.9,high,complete,uncertain
ssh,medium,171.7,200.4,749.5,0.0,64.3,0.0,0.4,qwen3.6:27b@low,low,0,84.3,benign,227.9,medium,needs_human_review,uncertain
winlogon,high,153.7,239.0,798.9,0.0,78.6,0.0,0.4,qwen3.6:27b@low,low,0,61.1,fp_control,265.5,high,needs_human_review,true_positive
powershell,high,180.5,187.9,692.0,0.0,133.4,0.0,0.4,qwen3.6:27b@low,low,0,63.9,benign,125.4,low,complete,false_positive
tp_chain,low,127.5,248.7,786.0,0.0,90.3,0.0,0.4,qwen3.6:27b@low,low,0,70.0,needle,248.6,medium,needs_human_review,uncertain
powershell,high,165.2,248.5,849.0,0.0,155.8,0.0,0.4,qwen3.6:27b@low,low,0,70.7,needle,207.9,high,complete,true_positive
ssh,high,270.5,169.1,724.5,0.0,63.6,0.0,0.4,qwen3.6:27b@low,low,0,71.0,needle,149.4,low,needs_human_review,false_positive
winlogon,high,153.7,238.9,807.4,0.0,87.0,0.0,0.4,qwen3.6:27b@low,low,0,61.2,fp_control,265.6,high,needs_human_review,true_positive
email,high,189.0,231.7,772.1,0.0,92.4,0.0,0.4,qwen3.6:27b@low,low,0,65.5,needle,192.5,high,needs_human_review,true_positive
tp_chain,high,218.4,201.4,806.0,0.0,116.5,0.0,0.4,qwen3.6:27b@low,low,0,70.3,needle,198.5,high,needs_human_review,true_positive
email,high,69.7,63.9,248.7,0.0,33.8,0.0,0.4,qwen3.6:35b-a3b@low,low,0,22.2,benign,58.2,high,needs_human_review,true_positive
winlogon,medium,109.3,51.2,346.7,0.0,119.5,0.0,0.4,qwen3.6:35b-a3b@low,low,0,20.1,benign,45.6,low,complete,uncertain
ssh,medium,55.6,54.7,211.4,0.0,13.4,0.0,0.4,qwen3.6:35b-a3b@low,low,0,20.3,benign,66.6,medium,needs_human_review,uncertain
winlogon,medium,38.6,61.2,272.9,0.0,109.6,0.0,0.4,qwen3.6:35b-a3b@low,low,0,21.3,fp_control,41.3,low,complete,false_positive
powershell,high,53.2,54.3,193.5,0.0,31.2,0.0,0.4,qwen3.6:35b-a3b@low,low,0,17.5,benign,36.4,low,complete,false_positive
tp_chain,low,56.8,62.0,314.7,0.0,108.6,0.0,0.4,qwen3.6:35b-a3b@low,low,0,28.5,needle,57.9,medium,needs_human_review,uncertain
powershell,high,51.5,72.0,233.7,0.0,28.8,0.0,0.4,qwen3.6:35b-a3b@low,low,0,25.7,needle,54.8,high,needs_human_review,true_positive
ssh,medium,63.3,63.6,230.2,0.0,16.7,0.0,0.4,qwen3.6:35b-a3b@low,low,0,20.8,needle,64.9,high,needs_human_review,uncertain
winlogon,medium,38.7,62.5,285.8,0.0,120.9,0.0,0.4,qwen3.6:35b-a3b@low,low,0,21.4,fp_control,41.5,low,complete,false_positive
email,medium,50.8,54.4,194.5,0.0,30.1,0.0,0.4,qwen3.6:35b-a3b@low,low,0,16.0,needle,42.3,high,complete,true_positive
tp_chain,high,51.3,72.0,227.6,0.0,32.9,0.0,0.4,qwen3.6:35b-a3b@low,low,0,19.9,needle,50.5,high,needs_human_review,true_positive
